Review,Stars
"I would like to say Kotak 811 is one of the app where you can make you accout with mini kyc.

Here yo get features like virtual 811 card and ths visa enebled.

I takes half an hour to complete the process to register your mobile number on the app.

You need to perform mini kyc to access so...Read More",1
"I have been experienced that now a days Kotak is not giving proper service I'm trying customer care no from last one month but it is not connecting only. And now update in update why need access for our contacts, gallery, everything why this is not done and this is not write thing clearly I got ...Read More",1
"I got worst messages to open account.

The short link goes to kotak bank account page

Bulk of messages fake

...Read More",1
"Kotak 811 is one of the best banking application I have ever seen.I am a student and I was in need of an bank account from where I can do my transaction without paying any deductions.So, one of my friend suggests me kotak 811 digital banking and I thought this would be a best option for me. so I...Read More",3
"Kotak 811 comes with many features & made mobile banking easier than earlier. Full command on bank account with mobile application, instant money transfer, zero savings account & much more features provided by kotak 811. After using kotak 811 I don't visited its branch because everything can...Read More",3
"I am using kotal 811 digital banking service last 1 year. Its provide me all digital online account services free of cost. I can use imps, neft, online netbanking, also its provide all online service in only one kotak 811 banking app like mobile recharge option, online ticket online upi money tr...Read More",4
"This is an easy way to account opening.There is no matter of document submitted.You just download the app. , Follow the instructions of account opening and then after fulfilling the condition you have your own account.Some document and id proof also required those are also in the form of images,...Read More",4
"I like The kotak mahindra Mobile banking, I use kotak mahindra banking from 8 to 9 month, Two type of Password in this app one for open app and other for transaction, Kotak Mahindra mobile banking very useful for me because I transfer my money to any account very easy and quick. There are so man...Read More",5
I opened my account in this bank with 0 balance and I m very happy with this bank. It not like other bank account where you have a limit and if the balance goes below that u will be charged. In this bank account you can have any amount of money and you take out all your money but you will not be...Read More,4
"It gives you an above average online banking experience. And Kotak bank is widely popular in India. The site UI experience is quite good. They also provide you with Kotak 811 android app.

According to my experience with Kotak Bank app, You can create your zero balance account just by sitting ...Read More",3
"Today I am reviewing Kotak 811

They use to send me around 100 mails a day to join their new 811 account but when I started applying they were saying that my age doesn't meet their policy and privact so wait till I turn 18, I really don't understand if minior cannot apply for 811 account then ...Read More",1
"I am using the app at the moment. It's an good app with good concept of banking digitally without maintaining minimum balance and also provides free online services like online transfer, etc. But when I deposited 3000/- in my 811 account they have debited 250/- without any reason. Because it's a...Read More",3
"Hello friends, It's a best mobile banking app in India named as Kotak 811 & Mobile banking. I used this app and service for one year. The best thing is, you can able to open an account within a minute, only you need your aadhar card and PAN card. And then the best feature is it's zero balance op...Read More",5
"We Can Open Kotak 811 AccountCrom Our Home. This Bank's Services Also Good. But Why I Dont Like It.

Guys I Am Tried To Open Kotak 811 Account, And They are, The Kotak 811 Website Showing ' Kotak Bank Not In Your Area'.

So 50% of people Facing Thia Problem. And The Main Point Is Kotak Mahin...Read More",1
"Friends, I am here to give review call Kotak Bank which which provides banking services on the go i.e. we can use internet as a medium of transferring funds from one bank account to another. This bank provides interest rate @ 6% in comparison to 3.5 percent interest rate of SBI and there is much...Read More",5
Friend's today I am going to give the Kotak-811 review. Frist of all I talk about its service .it's service is very nice. you can open its account on mobile at home. His account doesn't even take 5 minutes to get active.in today's time where the bank has to make line in the crowd.that's where yo...Read More,4
Kotak 811 app is mobile app. It is a banking app ptovided by kotak mahindra bank. The kotak 811 app provide zero balance account. You can create your zero balance account through kotak 811 app. It is very easy app to create your accound in kotak bank. The app user interface is now good after tak...Read More,4
"I have been using Kotak 811 banking since 6 months now. They provide great services with zero balance account opening and most of it's services are free but problem is with their app. It too damn slow like a tortoise! ??

Yes it's very slow to load and most of the time it crashes like anything...Read More",2
"Hi friends I am using kotak 811 app since last 6 months and I experienced this is a good app but there is a problem in OTP . the otp is not so quick it takes time to send you the Otp.

there is one more thing i.e. the virtual debit card it is good in use and u can also take the physical debit ...Read More",3
My review on kotak 811. guys I'm telling you this is was awesome kotak zero balance account best way to create a savings account.  I also have a kotak-811 account and believe me it's was a outstanding. Customer service is also best of kotak Mahindra Bank. And you know what netbanking was gerat i...Read More,4
"I would like to say Kotak 811 is one of the app where you can make you accout with mini kyc.

Here yo get features like virtual 811 card and ths visa enebled.

I takes half an hour to complete the process to register your mobile number on the app.

You need to perform mini kyc to access so...Read More",1
"I have been experienced that now a days Kotak is not giving proper service I'm trying customer care no from last one month but it is not connecting only. And now update in update why need access for our contacts, gallery, everything why this is not done and this is not write thing clearly I got ...Read More",1
"I got worst messages to open account.

The short link goes to kotak bank account page

Bulk of messages fake

...Read More",1
"Kotak 811 is one of the best banking application I have ever seen.I am a student and I was in need of an bank account from where I can do my transaction without paying any deductions.So, one of my friend suggests me kotak 811 digital banking and I thought this would be a best option for me. so I...Read More",3
"Kotak 811 comes with many features & made mobile banking easier than earlier. Full command on bank account with mobile application, instant money transfer, zero savings account & much more features provided by kotak 811. After using kotak 811 I don't visited its branch because everything can...Read More",3
"I am using kotal 811 digital banking service last 1 year. Its provide me all digital online account services free of cost. I can use imps, neft, online netbanking, also its provide all online service in only one kotak 811 banking app like mobile recharge option, online ticket online upi money tr...Read More",4
"This is an easy way to account opening.There is no matter of document submitted.You just download the app. , Follow the instructions of account opening and then after fulfilling the condition you have your own account.Some document and id proof also required those are also in the form of images,...Read More",4
"I like The kotak mahindra Mobile banking, I use kotak mahindra banking from 8 to 9 month, Two type of Password in this app one for open app and other for transaction, Kotak Mahindra mobile banking very useful for me because I transfer my money to any account very easy and quick. There are so man...Read More",5
I opened my account in this bank with 0 balance and I m very happy with this bank. It not like other bank account where you have a limit and if the balance goes below that u will be charged. In this bank account you can have any amount of money and you take out all your money but you will not be...Read More,4
"It gives you an above average online banking experience. And Kotak bank is widely popular in India. The site UI experience is quite good. They also provide you with Kotak 811 android app.

According to my experience with Kotak Bank app, You can create your zero balance account just by sitting ...Read More",3
"Today I am reviewing Kotak 811

They use to send me around 100 mails a day to join their new 811 account but when I started applying they were saying that my age doesn't meet their policy and privact so wait till I turn 18, I really don't understand if minior cannot apply for 811 account then ...Read More",1
